load,var,mm_sig,mm_session,mm_feedback,mm_interaction,spher,spher_p,norm_res
COMB COMB,P,SESSION ONLY,"F(7,56) = 10.453,\ p=0.0","F(1,8) = 0.027,\ p=0.873","F(7,56) = 0.944,\ p=0.481",PASS,0.762112103,Perfectly normal
COMB COMB,P_l,SESSION ONLY,"F(7,56) = 6.779,\ p=0.0","F(1,8) = 0.111,\ p=0.748","F(7,56) = 1.443,\ p=0.207",PASS,0.499395232,Highly normal
COMB COMB,P_h,SESSION ONLY,"F(7,56) = 4.952,\ p=0.0","F(1,8) = 0.148,\ p=0.71","F(7,56) = 0.422,\ p=0.885",PASS,1,Highly normal
COMB COMB,G,SESSION ONLY,"F(7,56) = 8.325,\ p=0.0","F(1,8) = 0.984,\ p=0.35","F(7,56) = 1.016,\ p=0.43",PASS,0.900964739,Normal
COMB COMB,G_l,SESSION ONLY,"F(7,56) = 4.195,\ p=0.001","F(1,8) = 0.855,\ p=0.382","F(7,56) = 1.348,\ p=0.246",PASS,0.367768263,Highly normal
COMB COMB,G_h,SESSION ONLY,"F(7,56) = 2.78,\ p=0.015","F(1,8) = 0.611,\ p=0.457","F(7,56) = 0.942,\ p=0.482",PASS,0.140199719,FALSE
COMB COMB,T,SESSION ONLY,"F(7,56) = 7.759,\ p=0.0","F(1,8) = 0.299,\ p=0.599","F(7,56) = 1.147,\ p=0.348",PASS,1,Normal
COMB COMB,T_l,SESSION ONLY,"F(7,56) = 5.813,\ p=0.0","F(1,8) = 0.014,\ p=0.907","F(7,56) = 0.869,\ p=0.536",PASS,0.545925176,FALSE
COMB COMB,T_h,SESSION ONLY,"F(7,56) = 4.235,\ p=0.001","F(1,8) = 1.118,\ p=0.321","F(7,56) = 0.686,\ p=0.683",PASS,1,Normal
COMB COMB,F,SESSION ONLY,"F(7,56) = 7.223,\ p=0.0","F(1,8) = 0.248,\ p=0.632","F(7,56) = 0.571,\ p=0.776",PASS,0.563796226,Perfectly normal
COMB COMB,F_l,SESSION ONLY,"F(7,56) = 4.639,\ p=0.0","F(1,8) = 0.628,\ p=0.451","F(7,56) = 1.209,\ p=0.313",PASS,0.587106373,Highly normal
COMB COMB,F_h,SESSION ONLY,"F(7,56) = 5.394,\ p=0.0","F(1,8) = 0.0,\ p=0.987","F(7,56) = 0.438,\ p=0.874",PASS,0.235758093,Highly normal
COMB COMB,grasps,SESSION ONLY,"F(7,56) = 6.206,\ p=0.0","F(1,8) = 0.047,\ p=0.834","F(7,56) = 0.975,\ p=0.458",FAIL,0.046597698,Highly normal
COMB COMB,crushes,SESSION ONLY,"F(7,56) = 2.555,\ p=0.023","F(1,8) = 2.18,\ p=0.178","F(7,56) = 1.264,\ p=0.285",FAIL,0.033012535,FALSE
COMB COMB,drops,NONE,"F(7,56) = 1.664,\ p=0.137","F(1,8) = 0.282,\ p=0.61","F(7,56) = 0.912,\ p=0.504",FAIL,0.001276295,FALSE
COMB COMB,Mental Demand,SESSION ONLY,"F(7,56) = 13.683,\ p=0.0","F(1,8) = 0.207,\ p=0.661","F(7,56) = 3.601,\ p=0.003",FAIL,0.015497414,Normal
