,load,var,mm_sig,mm_session,mm_feedback,mm_interaction,rm_sig,rm_session,rm_loading,rm_interaction,spher,spher_p,norm_res
0,,,,,,,,,,,,,
1,COMB COMB,P,SESSION ONLY,"F(7,56) = 10.453,\ p=0.0","F(1,8) = 0.027,\ p=0.873","F(7,56) = 0.944,\ p=0.481",SESSION ONLY,"F(7,63) = 10.519,\ p=0.0","F(1,9) = 1.729,\ p=0.221","F(7,63) = 1.34,\ p=0.274",PASS,0.7621121026168887,Perfectly normal
2,COMB COMB,P_l,SESSION ONLY,"F(7,56) = 6.779,\ p=0.0","F(1,8) = 0.111,\ p=0.748","F(7,56) = 1.443,\ p=0.207",HIGH,"F(7,63) = 6.461,\ p=0.001","F(1,9) = 7.507,\ p=0.023","F(7,63) = 0.742,\ p=0.55",PASS,0.4993952317714194,Highly normal
3,COMB COMB,P_h,SESSION ONLY,"F(7,56) = 4.952,\ p=0.0","F(1,8) = 0.148,\ p=0.71","F(7,56) = 0.422,\ p=0.885",SESSION ONLY,"F(7,63) = 5.292,\ p=0.004","F(1,9) = 0.987,\ p=0.346","F(7,63) = 0.649,\ p=0.62",PASS,1.0,Highly normal
4,COMB COMB,G,SESSION ONLY,"F(7,56) = 8.325,\ p=0.0","F(1,8) = 0.984,\ p=0.35","F(7,56) = 1.016,\ p=0.43",SESSION ONLY,"F(7,63) = 8.311,\ p=0.0","F(1,9) = 0.492,\ p=0.501","F(7,63) = 0.817,\ p=0.534",PASS,0.9009647386524804,Normal
5,COMB COMB,G_l,SESSION ONLY,"F(7,56) = 4.195,\ p=0.001","F(1,8) = 0.855,\ p=0.382","F(7,56) = 1.348,\ p=0.246",HIGH,"F(7,63) = 4.038,\ p=0.009","F(1,9) = 5.437,\ p=0.045","F(7,63) = 1.573,\ p=0.213",PASS,0.3677682629303022,Highly normal
6,COMB COMB,G_h,SESSION ONLY,"F(7,56) = 2.78,\ p=0.015","F(1,8) = 0.611,\ p=0.457","F(7,56) = 0.942,\ p=0.482",SESSION ONLY,"F(7,63) = 2.798,\ p=0.046","F(1,9) = 1.639,\ p=0.232","F(7,63) = 0.851,\ p=0.487",PASS,0.14019971929749403,False
7,COMB COMB,T,SESSION ONLY,"F(7,56) = 7.759,\ p=0.0","F(1,8) = 0.299,\ p=0.599","F(7,56) = 1.147,\ p=0.348",SESSION ONLY,"F(7,63) = 7.634,\ p=0.0","F(1,9) = 2.107,\ p=0.181","F(7,63) = 1.75,\ p=0.173",PASS,1.0,Normal
8,COMB COMB,T_l,SESSION ONLY,"F(7,56) = 5.813,\ p=0.0","F(1,8) = 0.014,\ p=0.907","F(7,56) = 0.869,\ p=0.536",HIGH,"F(7,63) = 5.898,\ p=0.002","F(1,9) = 5.483,\ p=0.044","F(7,63) = 0.419,\ p=0.757",PASS,0.5459251764287527,False
9,COMB COMB,T_h,SESSION ONLY,"F(7,56) = 4.235,\ p=0.001","F(1,8) = 1.118,\ p=0.321","F(7,56) = 0.686,\ p=0.683",SESSION ONLY,"F(7,63) = 4.388,\ p=0.008","F(1,9) = 0.08,\ p=0.784","F(7,63) = 0.791,\ p=0.518",PASS,1.0,Normal
10,COMB COMB,F,SESSION ONLY,"F(7,56) = 7.223,\ p=0.0","F(1,8) = 0.248,\ p=0.632","F(7,56) = 0.571,\ p=0.776",SESSION ONLY,"F(7,63) = 7.585,\ p=0.0","F(1,9) = 1.306,\ p=0.283","F(7,63) = 0.408,\ p=0.803",PASS,0.5637962258417505,Perfectly normal
11,COMB COMB,F_l,SESSION ONLY,"F(7,56) = 4.639,\ p=0.0","F(1,8) = 0.628,\ p=0.451","F(7,56) = 1.209,\ p=0.313",SESSION ONLY,"F(7,63) = 4.534,\ p=0.004","F(1,9) = 1.125,\ p=0.316","F(7,63) = 0.729,\ p=0.577",PASS,0.58710637257865,Highly normal
12,COMB COMB,F_h,SESSION ONLY,"F(7,56) = 5.394,\ p=0.0","F(1,8) = 0.0,\ p=0.987","F(7,56) = 0.438,\ p=0.874",SESSION ONLY,"F(7,63) = 5.753,\ p=0.002","F(1,9) = 1.499,\ p=0.252","F(7,63) = 1.081,\ p=0.38",PASS,0.23575809281633686,Highly normal
13,COMB COMB,grasps,SESSION ONLY,"F(7,56) = 6.206,\ p=0.0","F(1,8) = 0.047,\ p=0.834","F(7,56) = 0.975,\ p=0.458",SESSION ONLY,"F(7,63) = 6.223,\ p=0.004","F(1,9) = 1.726,\ p=0.221","F(7,63) = 1.186,\ p=0.334",FAIL,0.04659769769603369,Highly normal
14,COMB COMB,crushes,SESSION ONLY,"F(7,56) = 2.555,\ p=0.023","F(1,8) = 2.18,\ p=0.178","F(7,56) = 1.264,\ p=0.285",SESSION ONLY,"F(7,63) = 2.482,\ p=0.096","F(1,9) = 0.041,\ p=0.843","F(7,63) = 1.884,\ p=0.17",FAIL,0.033012535264170195,False
15,COMB COMB,drops,NONE,"F(7,56) = 1.664,\ p=0.137","F(1,8) = 0.282,\ p=0.61","F(7,56) = 0.912,\ p=0.504",NONE,"F(7,63) = 1.681,\ p=0.21","F(1,9) = 1.454,\ p=0.259","F(7,63) = 0.291,\ p=0.849",FAIL,0.0012762947839556349,False
16,COMB COMB,Mental Demand,SESSION ONLY,"F(7,56) = 13.683,\ p=0.0","F(1,8) = 0.207,\ p=0.661","F(7,56) = 3.601,\ p=0.003",HIGH,"F(7,63) = 10.615,\ p=0.0","F(1,9) = 24.14,\ p=0.001","F(7,63) = 2.646,\ p=0.055",FAIL,0.015497414173153078,Normal
17,COMB COMB,Physical Demand,SESSION ONLY,"F(7,56) = 15.592,\ p=0.0","F(1,8) = 0.09,\ p=0.771","F(7,56) = 0.894,\ p=0.517",HIGH,"F(7,63) = 15.777,\ p=0.0","F(1,9) = 15.101,\ p=0.004","F(7,63) = 0.9,\ p=0.444",FAIL,0.0035960086329364298,Highly normal
18,COMB COMB,Temporal Demand,SESSION ONLY,"F(7,56) = 6.08,\ p=0.0","F(1,8) = 0.15,\ p=0.709","F(7,56) = 1.326,\ p=0.255",HIGH,"F(7,63) = 5.867,\ p=0.002","F(1,9) = 21.857,\ p=0.001","F(7,63) = 1.806,\ p=0.158",PASS,0.2075828110310877,Highly normal
19,COMB COMB,Performance,SESSION ONLY,"F(7,56) = 14.316,\ p=0.0","F(1,8) = 0.039,\ p=0.848","F(7,56) = 1.824,\ p=0.101",HIGH,"F(7,63) = 13.115,\ p=0.0","F(1,9) = 19.628,\ p=0.002","F(7,63) = 1.973,\ p=0.138",PASS,0.09564288991229714,Highly normal
20,COMB COMB,Effort,SESSION ONLY,"F(7,56) = 13.657,\ p=0.0","F(1,8) = 0.216,\ p=0.655","F(7,56) = 1.222,\ p=0.306",HIGH,"F(7,63) = 13.328,\ p=0.0","F(1,9) = 27.249,\ p=0.001","F(7,63) = 1.014,\ p=0.407",PASS,0.055193202590773933,Highly normal
